sen,label_decode,label,raw_sen
"['无', '境', '外', '永', '久', '居', '留', '权', '本', '科', '学', '历', '研', '究', '员']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EDU', 'M-EDU', 'M-EDU', 'E-EDU', 'B-TITLE', 'M-TITLE', 'E-TITLE']","[3, 3, 3, 3, 3, 3, 3, 3, 12, 13, 13, 14, 9, 10, 11]",无境外永久居留权本科学历研究员
"['1', '9', '6', '3', '年', '3', '月', '生', '研', '究', '生', '学', '历']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EDU', 'M-EDU', 'M-EDU', 'M-EDU', 'E-EDU']","[3, 3, 3, 3, 3, 3, 3, 3, 12, 13, 13, 13, 14]",1963年3月生研究生学历
"['曾', '任', '山', '东', '省', '国', '资', '委', '清', '产', '核', '资', '专', '家', '成', '员', '国', '务', '院', '国', '资', '委', '企', '业', '财', '务', '信', '息', '化', '专', '家', '成', '员']","['O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE']","[3, 3, 15, 16, 16, 16, 16, 17, 9, 10, 10, 10, 10, 10, 10, 11, 15, 16, 16, 16, 16, 17, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11]",曾任山东省国资委清产核资专家成员国务院国资委企业财务信息化专家成员
"['1', '9', '9', '7', '年', '起', '任', '职', '于', '德', '威', '实', '业']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'E-ORG']","[3, 3, 3, 3, 3, 3, 3, 3, 3, 15, 16, 16, 17]",1997年起任职于德威实业
"['获', '得', '香', '港', '中', '文', '大', '学', '工', '商', '管', '理', '学', '士', '学', '位']","['O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-PRO', 'M-PRO', 'M-PRO', 'E-PRO', 'B-EDU', 'M-EDU', 'M-EDU', 'E-EDU']","[3, 3, 15, 16, 16, 16, 16, 17, 19, 20, 20, 21, 12, 13, 13, 14]",获得香港中文大学工商管理学士学位
"['报', '告', '期', '内', '因', '董', '事', '会', '换', '届', '已', '不', '在', '浙', '江', '康', '恩', '贝', '制', '药', '股', '份', '有', '限', '公', '司', '任', '职', '孙', '新', '虎', '男']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'O', 'O', 'B-NAME', 'M-NAME', 'E-NAME', 'O']","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 3, 3, 1, 18, 2, 3]",报告期内因董事会换届已不在浙江康恩贝制药股份有限公司任职孙新虎男
"['现', '任', '花', '旗', '国', '际', '营', '运', '部', '总', '裁', '连', '维', '新', '同', '志', '中', '国', '国', '籍', '男', '中', '共', '党', '员', '大', '专', '文', '化', '高', '级', '政', '工', '师']","['O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'B-NAME', 'M-NAME', 'E-NAME', 'O', 'O', 'B-CONT', 'M-CONT', 'M-CONT', 'E-CONT', 'O', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'B-EDU', 'M-EDU', 'M-EDU', 'E-EDU', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE']","[3, 3, 15, 16, 16, 17, 9, 10, 10, 10, 11, 1, 18, 2, 3, 3, 4, 5, 5, 6, 3, 9, 10, 10, 11, 12, 13, 13, 14, 9, 10, 10, 10, 11]",现任花旗国际营运部总裁连维新同志中国国籍男中共党员大专文化高级政工师
"['在', '财', '务', '管', '理', '、', '会', '计', '和', '公', '司', '管', '治', '方', '面', '积', '累', '了', '丰', '富', '的', '经', '验', '黄', '先', '生', '自', '2', '0', '0', '5', '年', '6', '月', '起', '任', '本', '公', '司', '独', '立', '非', '执', '行', '董', '事']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE']","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 23, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 15, 16, 17, 9, 10, 10, 10, 10, 10, 11]",在财务管理、会计和公司管治方面积累了丰富的经验黄先生自2005年6月起任本公司独立非执行董事
"['现', '任', '华', '英', '樱', '桃', '谷', '食', '品', '有', '限', '公', '司', '总', '经', '理', '、', '河', '南', '华', '英', '农', '业', '发', '展', '股', '份', '有', '限', '公', '司', '董', '事', '方', '培', '琦', '男', '1', '9', '6', '1', '年', '9', '月', '出', '生', '工', '商', '管', '理', '硕', '士', '高', '级', '工', '程', '师', '曾', '任', '上', '海', '雷', '磁', '仪', '器', '总', '厂', '厂', '长', '上', '海', '惠', '普', '分', '析', '仪', '器', '公', '司', '副', '总', '经', '理', '上', '海', '精', '密', '科', '学', '仪', '器', '公', '司', '副', '总', '经', '理', '、', '总', '经', '理', '上', '海', '仪', '电', '控', '股', '（', '集', '团', '）', '公', '司', '总', '裁', '助', '理']","['O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'E-TITLE', 'B-NAME', 'M-NAME', 'E-NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PRO', 'M-PRO', 'M-PRO', 'E-PRO', 'B-EDU', 'E-EDU', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'E-TITLE', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-TITLE', 'M-TITLE', 'E-TITLE', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE']","[3, 3, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 9, 10, 11, 3, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 9, 11, 1, 18, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 19, 20, 20, 21, 12, 14, 9, 10, 10, 10, 11, 3, 3, 15, 16, 16, 16, 16, 16, 16, 17, 9, 11, 15, 16, 16, 16, 16, 16, 16, 16, 16, 17, 9, 10, 10, 11, 15, 16, 16, 16, 16, 16, 16, 16, 16, 17, 9, 10, 10, 11, 3, 9, 10, 11, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 9, 10, 10, 11]",现任华英樱桃谷食品有限公司总经理、河南华英农业发展股份有限公司董事方培琦男1961年9月出生工商管理硕士高级工程师曾任上海雷磁仪器总厂厂长上海惠普分析仪器公司副总经理上海精密科学仪器公司副总经理、总经理上海仪电控股（集团）公司总裁助理
"['毕', '业', '于', '合', '肥', '工', '业', '大', '学']","['O', 'O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG']","[3, 3, 3, 15, 16, 16, 16, 16, 17]",毕业于合肥工业大学
"['曾', '任', '西', '南', '化', '工', '研', '究', '设', '计', '院', '专', '题', '组', '长', '、', '气', '体', '室', '副', '主', '任', '、', '院', '长', '助', '理']","['O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE']","[3, 3, 15, 16, 16, 16, 16, 16, 16, 16, 17, 9, 10, 10, 11, 3, 9, 10, 10, 10, 10, 11, 3, 9, 10, 10, 11]",曾任西南化工研究设计院专题组长、气体室副主任、院长助理
"['曾', '任', '湖', '南', '汉', '森', '制', '药', '有', '限', '公', '司', '副', '总', '经', '理']","['O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE']","[3, 3, 15, 16, 16, 16, 16, 16, 16, 16, 16, 17, 9, 10, 10, 11]",曾任湖南汉森制药有限公司副总经理
"['2', '0', '0', '8', '年', '1', '月', '至', '2', '0', '0', '8', '年', '1', '0', '月', '任', '中', '国', '航', '空', '工', '业', '第', '二', '集', '团', '公', '司', '纪', '检', '监', '察', '审', '计', '部', '副', '部', '长']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE']","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 9, 10, 10, 10, 10, 10, 10, 10, 10, 11]",2008年1月至2008年10月任中国航空工业第二集团公司纪检监察审计部副部长
"['享', '受', '国', '务', '院', '政', '府', '特', '殊', '津', '贴', '赵', '先', '生', '精', '通', '冶', '金', '工', '艺', '和', '材', '料', '科', '学']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S-NAME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 23, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",享受国务院政府特殊津贴赵先生精通冶金工艺和材料科学
"['2', '0', '1', '3', '年', '当', '选', '为', '四', '川', '省', '人', '大', '代', '表']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE']","[3, 3, 3, 3, 3, 3, 3, 3, 9, 10, 10, 10, 10, 10, 11]",2013年当选为四川省人大代表
"['1', '9', '5', '6', '年', '5', '月', '2', '9', '日', '出', '生', '中', '共', '党', '员', '大', '学', '文', '化', '高', '级', '工', '程', '师']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'B-EDU', 'M-EDU', 'M-EDU', 'E-EDU', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE']","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 9, 10, 10, 11, 12, 13, 13, 14, 9, 10, 10, 10, 11]",1956年5月29日出生中共党员大学文化高级工程师
"['1', '9', '7', '0', '年', '生', '中', '国', '国', '籍']","['O', 'O', 'O', 'O', 'O', 'O', 'B-CONT', 'M-CONT', 'M-CONT', 'E-CONT']","[3, 3, 3, 3, 3, 3, 4, 5, 5, 6]",1970年生中国国籍
"['现', '任', '安', '徽', '德', '力', '日', '用', '玻', '璃', '股', '份', '有', '限', '公', '司', '财', '务', '部', '会', '计', '、', '安', '徽', '德', '力', '日', '用', '玻', '璃', '股', '份', '有', '限', '公', '司', '监', '事', '温', '萍', '：', '女']","['O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'E-TITLE', 'B-NAME', 'E-NAME', 'O', 'O']","[3, 3, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 9, 10, 10, 10, 11, 3, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 9, 11, 1, 2, 3, 3]",现任安徽德力日用玻璃股份有限公司财务部会计、安徽德力日用玻璃股份有限公司监事温萍：女
"['担', '任', '中', '国', '人', '民', '解', '放', '军', '北', '京', '预', '备', '役', '高', '炮', '师', '干', '部']","['O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'E-TITLE']","[3, 3, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 9, 11]",担任中国人民解放军北京预备役高炮师干部
"['现', '任', '华', '北', '电', '力', '大', '学', '教', '授', '、', '博', '士', '生', '导', '师', '国', '电', '南', '京', '自', '动', '化', '股', '份', '有', '限', '公', '司', '第', '一', '届', '董', '事', '会', '董', '事', '王', '玉', '女', '士']","['O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'E-TITLE', 'O', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'B-NAME', 'E-NAME', 'O', 'O']","[3, 3, 15, 16, 16, 16, 16, 17, 9, 11, 3, 9, 10, 10, 10, 11, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 9, 10, 10, 10, 10, 10, 10, 11, 1, 2, 3, 3]",现任华北电力大学教授、博士生导师国电南京自动化股份有限公司第一届董事会董事王玉女士
"['1', '9', '6', '8', '年', '至', '1', '9', '7', '9', '年', '任', '职', '于', '武', '汉', '市', '硚', '口', '区', '工', '业', '局']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG']","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 15, 16, 16, 16, 16, 16, 16, 16, 17]",1968年至1979年任职于武汉市硚口区工业局
"['获', '得', '北', '京', '邮', '电', '大', '学', '经', '济', '管', '理', '学', '院', 'E', 'M', 'B', 'A', '硕', '士', '学', '位']","['O', 'O', 'B-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'M-ORG', 'E-ORG', 'B-EDU', 'M-EDU', 'M-EDU', 'E-EDU', 'B-EDU', 'M-EDU', 'M-EDU', 'E-EDU']","[3, 3, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 12, 13, 13, 14, 12, 13, 13, 14]",获得北京邮电大学经济管理学院EMBA硕士学位
"['2', '0', '1', '3', '年', '1', '月', '1', '4', '日', '起', '不', '再', '担', '任', '本', '公', '司', '独', '立', '董', '事', '吕', '晓', '明', '男', '汉', '族']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'M-ORG', 'E-ORG', 'B-TITLE', 'M-TITLE', 'M-TITLE', 'E-TITLE', 'B-NAME', 'M-NAME', 'E-NAME', 'O', 'B-RACE', 'E-RACE']","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 15, 16, 17, 9, 10, 10, 11, 1, 18, 2, 3, 7, 8]",2013年1月14日起不再担任本公司独立董事吕晓明男汉族
