sen,label_decode,label,raw_sen,length,start
"['6', '.', '2', '.', '8', '伤', '口', '愈', '合', '或', '感', '染', '痊', '愈', '未', '满', '1', '周', '者', '皮', '肤', '局', '限', '性', '炎', '症', '愈', '后', '未', '满', '1', '周', '者', '皮', '肤', '广', '泛', '性', '炎', '症', '愈', '合', '后', '未', '满', '2', '周', '者']","['O', 'O', 'O', 'O', 'O', 'B-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'O', 'B-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'O', 'O', 'O', 'O', 'O', 'B-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 60, 61, 61, 61, 3, 60, 61, 61, 61, 3, 3, 3, 3, 3, 60, 61, 61, 61, 61, 61, 61, 3, 3, 3, 3, 3, 3, 3, 60, 61, 61, 61, 61, 61, 61, 3, 3, 3, 3, 3, 3, 3, 3, 1]",6.2.8伤口愈合或感染痊愈未满1周者皮肤局限性炎症愈后未满1周者皮肤广泛性炎症愈合后未满2周者,48,0
"['r', 'u', 'b', '含', '有', '醇', '类', '和', '护', '肤', '成', '分', '的', '手', '消', '毒', '剂']","['O', 'O', 'O', 'B-定义', 'I-定义', 'I-定义', 'I-定义', 'I-定义', 'I-定义', 'I-定义', 'I-定义', 'I-定义', 'I-定义', 'I-定义', 'I-定义', 'I-定义', 'I-定义']","[0, 3, 3, 3, 92, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 1]",rub含有醇类和护肤成分的手消毒剂,17,0
"['9', '.', '7', '献', '血', '不', '良', '反', '应', '应', '急', '处', '理', '应', '配', '备', '医', '用', '给', '氧', '设', '施', '和', '简', '易', '急', '救', '箱']","['O', 'O', 'O', 'B-献血场所', 'I-献血场所', 'I-献血场所', 'I-献血场所', 'I-献血场所', 'I-献血场所', 'I-献血场所', 'I-献血场所', 'I-献血场所', 'I-献血场所', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",9.7献血不良反应应急处理应配备医用给氧设施和简易急救箱,28,0
"['本', '标', '准', '主', '要', '起', '草', '人', '邹', '峥', '峰', '、', '章', '悸', '、', '龚', '裕', '春', '、', '徐', '忠', '、', '张', '晰', '、', '谢', '云', '峥', '、', '徐', '舊', '、', '邱', '颖', '婕']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-起草人', 'I-起草人', 'I-起草人', 'O', 'B-起草人', 'I-起草人', 'O', 'B-起草人', 'I-起草人', 'I-起草人', 'O', 'B-起草人', 'I-起草人', 'O', 'B-起草人', 'I-起草人', 'O', 'B-起草人', 'I-起草人', 'I-起草人', 'O', 'B-起草人', 'I-起草人', 'O', 'B-起草人', 'I-起草人', 'I-起草人']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 82, 83, 83, 3, 82, 83, 3, 82, 83, 83, 3, 82, 83, 3, 82, 83, 3, 82, 83, 83, 3, 82, 83, 3, 82, 83, 83, 1]",本标准主要起草人邹峥峰、章悸、龚裕春、徐忠、张晰、谢云峥、徐舊、邱颖婕,35,0
"['如', '脑', '血', '管', '病', '、', '脑', '炎', '、', '脑', '外', '伤', '后', '遗', '症', '、', '癫', '痫', '等']","['O', 'B-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'O', 'B-疾病', 'I-疾病', 'O', 'B-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'O', 'B-疾病', 'I-疾病', 'O']","[0, 3, 60, 61, 61, 61, 3, 60, 61, 3, 60, 61, 61, 61, 61, 61, 3, 60, 61, 3, 1]",如脑血管病、脑炎、脑外伤后遗症、癫痫等,19,0
"['9', '献', '血', '量', '及', '献', '血', '间', '隔', '9', '.', '1', '献', '血', '量', '9', '.', '1', '.', '1', '全', '血', '献', '血', '者', '每', '次', '可', '献', '全', '血', '4', '0', '0', 'm', 'L']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-献血者健康检查', 'I-献血者健康检查', 'I-献血者健康检查', 'O', 'O', 'O', 'O', 'O', 'B-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 48, 49, 49, 3, 3, 3, 3, 3, 14, 15, 15, 15, 15, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",9献血量及献血间隔9.1献血量9.1.1全血献血者每次可献全血400mL,36,0
"['5', '.', '2', '.', '6', '献', '血', '反', '应', '绝', '大', '多', '数', '情', '况', '下']","['O', 'O', 'O', 'O', 'O', 'B-献血者健康检查', 'I-献血者健康检查', 'I-献血者健康检查', 'I-献血者健康检查', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 48, 49, 49, 49, 3, 3, 3, 3, 3, 3, 3, 1]",5.2.6献血反应绝大多数情况下,16,0
"['6', '0', '≤', '舒', '张', '压', '<', '9', '0', 'm', 'm', 'H', 'g', '.', '5', '.', '脉', '搏', '6', '0', '~', '1', '0', '0', '次', '/', '分', '钟']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-项目', 'I-项目', 'B-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 12, 13, 18, 19, 19, 19, 19, 19, 19, 19, 19, 19, 1]",60≤舒张压<90mmHg.5.脉搏60~100次/分钟,28,0
"['d', '）', '让', '献', '血', '者', '充', '分', '休', '息']","['O', 'O', 'B-处置措施', 'I-处置措施', 'I-处置措施', 'I-处置措施', 'I-处置措施', 'I-处置措施', 'I-处置措施', 'I-处置措施']","[0, 3, 3, 144, 145, 145, 145, 145, 145, 145, 145, 1]",d）让献血者充分休息,10,0
"['3', '.', '1', '8', '单', '采', '血', '小', '板', 'a', 'p', 'h', 'c', 'r', 'e', 's', 'i', 's']","['O', 'O', 'O', 'O', 'B-术语', 'I-术语', 'I-术语', 'I-术语', 'I-术语', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 58, 59, 59, 59, 59, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",3.18单采血小板aphcresis,18,0
"['a', '）', '红', '细', '胞', '比', '容', '（', 'H', 'C', 'T', ')']","['O', 'O', 'B-项目', 'I-项目', 'I-项目', 'I-项目', 'I-项目', 'O', 'B-英文名', 'I-英文名', 'I-英文名', 'O']","[0, 3, 3, 12, 13, 13, 13, 13, 3, 20, 21, 21, 3, 1]",a）红细胞比容（HCT),12,0
"['9', '.', '8', '无', '偿', '献', '血', '宣', '传', '固', '定', '献', '血', '场', '所', '应', '配', '备', '无', '偿', '献', '血', '宣', '传', '音', '、', '视', '频', '设', '施']","['O', 'O', 'O', 'B-献血场所', 'I-献血场所', 'I-献血场所', 'I-献血场所', 'I-献血场所', 'I-献血场所', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 8, 9, 9, 9, 9, 9, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",9.8无偿献血宣传固定献血场所应配备无偿献血宣传音、视频设施,30,0
"['8', '.', '4', '其', '他', '高', '度', '危', '险', '性', '物', '品', '的', '灭', '菌', '应', '根', '据', '被', '灭', '菌', '物', '品', '的', '材', '质']","['O', 'O', 'O', 'B-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 152, 153, 153, 153, 153, 153, 153, 153, 153, 153, 153, 153, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",8.4其他高度危险性物品的灭菌应根据被灭菌物品的材质,26,0
"['6', '.', '1', '.', '2', '循', '环', '系', '统', '疾', '病', '患', '者']","['O', 'O', 'O', 'O', 'O', 'B-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类']","[0, 3, 3, 3, 3, 3, 14, 15, 15, 15, 15, 15, 15, 15, 1]",6.1.2循环系统疾病患者,13,0
"['1', '2', '）', '丙', '型', '肝', '炎', '病', '毒', '（', 'H', 'C', 'V']","['O', 'O', 'O', 'B-项目', 'I-项目', 'I-项目', 'I-项目', 'I-项目', 'I-项目', 'O', 'B-英文名', 'I-英文名', 'I-英文名']","[0, 3, 3, 3, 12, 13, 13, 13, 13, 13, 3, 20, 21, 21, 1]",12）丙型肝炎病毒（HCV,13,0
"['3', '.', '6', '职', '业', '暴', '露', 'o', 'c', 'c', 'u', 'p', 'a', 't', 'i', 'o', 'n', 'a', 'l']","['O', 'O', 'O', 'B-术语', 'I-术语', 'I-术语', 'I-术语', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 58, 59, 59, 59, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",3.6职业暴露occupational,19,0
"['或', '面', '色', '赤', '红', '紫', '黯', '而', '无', '光', '泽']","['O', 'B-症状', 'I-症状', 'I-症状', 'I-症状', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 38, 39, 39, 39, 3, 3, 3, 3, 3, 3, 1]",或面色赤红紫黯而无光泽,11,0
"['2', '0', '1', '4', '4', '1', '(', '4', ')', '2', '8', '4', '–', '2', '9', '5', 'I', 'C', 'S']","['O', 'O', 'O', 'O', 'B-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 46, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 3, 3, 3, 1]",201441(4)284–295ICS,19,0
"['3', '.', '1', '4', '冰', '冻', '红', '细', '胞', 'f', 'r', 'o', 'z', 'e', 'n', 'r', 'e', 'd', 'b', 'l', 'o', 'o']","['O', 'O', 'O', 'O', 'B-术语', 'I-术语', 'I-术语', 'I-术语', 'I-术语', 'B-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名']","[0, 3, 3, 3, 3, 58, 59, 59, 59, 59, 20, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 1]",3.14冰冻红细胞frozenredbloo,22,0
"['3', '.', '4', '外', '科', '手', '消', '毒', 's', 'u', 'r', 'g', 'i', 'c', 'a', 'l']","['O', 'O', 'O', 'B-术语', 'I-术语', 'I-术语', 'I-术语', 'I-术语', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 58, 59, 59, 59, 59, 3, 3, 3, 3, 3, 3, 3, 3, 1]",3.4外科手消毒surgical,16,0
"['并', '保', '留', '注', '满', '血', '小', '板', '经', '热', '合', '的', '导', '管', '至', '少', '1', '5', 'c', 'm', '容', '量', '标', '示', '量', '（', 'm', 'L', '）', '±', '1', '0', '%', '储', '存', '期', '末', 'p', 'H', '6', '.', '4', '~', '7', '.', '4', '血', '小', '板', '含', '量', '≥', '2', '.', '0', 'X', '1', '0', '^', '1', '0', '个', 'X', '混', '合', '单', '位', '数', '红', '细', '胞', '混', '入', '量', '≤', '1', '.', '0', 'X', '1', '0', '^', '9', '个', 'X', '混', '合', '单', '位', '数', '无', '菌', '试', '验', '无', '细', '菌', '生', '长', '5', '.', '1', '1', '单', '采', '血', '小', '板', '单', '采', '血', '小', '板', '质', '量', '控', '制', '项', '目', '和', '要', '求', '按', '照', '表', '1', '1', '执', '行']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-项目', 'I-项目', 'B-要求', 'I-要求', 'I-要求', 'I-要求', 'I-要求', 'I-要求', 'I-要求', 'I-要求', 'I-要求', 'I-要求', 'I-要求', 'B-项目', 'I-项目', 'I-项目', 'I-项目', 'I-项目', 'I-项目', 'B-要求', 'I-要求', 'I-要求', 'I-要求', 'I-要求', 'I-要求', 'I-要求', 'B-项目', 'I-项目', 'I-项目', 'I-项目', 'I-项目', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-项目', 'I-项目', 'I-项目', 'I-项目', 'I-项目', 'I-项目', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-项目', 'I-项目', 'I-项目', 'I-项目', 'B-要求', 'I-要求', 'I-要求', 'I-要求', 'I-要求', 'O', 'O', 'O', 'O', 'B-血液', 'I-血液', 'I-血液', 'I-血液', 'I-血液', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 12, 13, 54, 55, 55, 55, 55, 55, 55, 55, 55, 55, 55, 12, 13, 13, 13, 13, 13, 54, 55, 55, 55, 55, 55, 55, 12, 13, 13, 13, 13, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 12, 13, 13, 13, 13, 13, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 12, 13, 13, 13, 54, 55, 55, 55, 55, 3, 3, 3, 3, 88, 89, 89, 89, 89, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",并保留注满血小板经热合的导管至少15cm容量标示量（mL）±10%储存期末pH6.4~7.4血小板含量≥2.0X10^10个X混合单位数红细胞混入量≤1.0X10^9个X混合单位数无菌试验无细菌生长5.11单采血小板单采血小板质量控制项目和要求按照表11执行,129,0
"['D', 'o', 'n', 'o', 'r', 's', '.', 'B', 'e', 't', 'h', 'e', 's', 'd', 'a', 'A', 'A', 'B', 'B']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-发布单位', 'I-发布单位', 'I-发布单位', 'I-发布单位', 'I-发布单位', 'I-发布单位', 'I-发布单位', 'I-发布单位', 'I-发布单位', 'I-发布单位', 'I-发布单位', 'I-发布单位']","[0, 3, 3, 3, 3, 3, 3, 3, 78, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 79, 1]",Donors.BethesdaAABB,19,0
"['\u2002', '表', '8', '冰', '冻', '解', '冻', '去', '甘', '油', '红', '细', '胞', '质', '量', '控', '制', '项', '目', '和', '要', '求', '质', '量', '控', '制', '项', '目', '要', '求', '外', '观', '肉', '眼', '观', '察', '应', '无', '色', '泽', '异', '常', '、', '溶', '血', '、', '凝', '块', '、', '气', '泡', '等', '情', '况']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-项目', 'I-项目', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 12, 13, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]", 表8冰冻解冻去甘油红细胞质量控制项目和要求质量控制项目要求外观肉眼观察应无色泽异常、溶血、凝块、气泡等情况,54,0
"['肝', '、', '脾', '、', '淋', '巴', '结', '肿', '大']","['O', 'O', 'O', 'O', 'B-症状', 'I-症状', 'I-症状', 'I-症状', 'I-症状']","[0, 3, 3, 3, 3, 38, 39, 39, 39, 39, 1]",肝、脾、淋巴结肿大,9,0
"['医', '务', '人', '员', '应', '做', '好', '职', '业', '防', '护', '1', '2', '皮', '肤', '与', '黏', '膜', '的', '消', '毒', '1', '2', '.', '1', '皮', '肤', '消', '毒', '1', '2', '.', '1', '.', '1', '穿', '刺', '部', '位', '的', '皮', '肤', '消', '毒', '1', '2', '.', '1', '.', '1', '.', '1', '消', '毒', '方', '法', '1', '2', '.', '1', '.', '1', '.', '1', '.', '1', '用', '有', '伏', '消', '毒', '液', '原', '液', '的', '无', '菌', '棉', '球', '或', '其', '他', '替', '代', '物', '品', '局', '部', '擦', '拭', '2', '遍']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'I-卫生', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 152, 153, 153, 153, 153, 153, 153, 153, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 152, 153, 153, 153, 153, 153, 153, 153, 153, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",医务人员应做好职业防护12皮肤与黏膜的消毒12.1皮肤消毒12.1.1穿刺部位的皮肤消毒12.1.1.1消毒方法12.1.1.1.1用有伏消毒液原液的无菌棉球或其他替代物品局部擦拭2遍,92,0
"['3', '）', '脉', '搏']","['O', 'O', 'B-项目', 'I-项目']","[0, 3, 3, 12, 13, 1]",3）脉搏,4,0
