sen,label_decode,label,raw_sen,length,start,insert_index
"['2', '0', '1', '5', '年', '6', '月', '9', '日', '天', '津', '市', '血', '液', '中', '心', '体', '采', '科']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-发布单位', 'I-发布单位', 'I-发布单位', 'I-发布单位', 'I-发布单位', 'I-发布单位', 'O', 'I-发布单位', 'B-起草单位', 'I-起草单位', 'O', 'I-起草单位', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 44, 45, 45, 45, 45, 45, 45, 3, 46, 47, 47, 3, 1]",2015年6月9日天津市血液中心体采科,19,0,"[10, 17, 20]"
"['长', '叹', '""', '今', '不', '如', '昔', '""', '精', '神', '倦', '怠', '肢', '体', '酸', '沉', '少', '气', '无', '力', '嗜', '卧', '懒', '动']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-症状', 'I-症状', 'I-症状', 'O', 'I-症状', 'B-症状', 'I-症状', 'I-症状', 'O', 'I-症状', 'B-症状', 'I-症状', 'I-症状', 'O', 'I-症状', 'B-症状', 'I-症状', 'I-症状', 'O', 'I-症状', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 22, 23, 23, 23, 3, 22, 23, 23, 23, 3, 22, 23, 23, 23, 3, 22, 23, 23, 23, 3, 1]","长叹""今不如昔"" 精神倦怠 肢体酸沉 少气无力 嗜卧懒动 ",24,0,"[9, 13, 17, 21, 25]"
"['c', 'o', 'l', 'l', 'e', 'c', 't', 'i', 'o', 'n', '2', '0', '2', '0', '-', '0', '3', '-', '2', '6', '发', '布', '2', '0', '2', '0', '-', '1', '0', '-', '0', '1', '实', '施']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-发布日期', 'I-发布日期', 'I-发布日期', 'I-发布日期', 'I-发布日期', 'I-发布日期', 'I-发布日期', 'I-发布日期', 'I-发布日期', 'O', 'I-发布日期', 'O', 'O', 'O', 'B-实施日期', 'I-实施日期', 'I-实施日期', 'I-实施日期', 'I-实施日期', 'I-实施日期', 'I-实施日期', 'I-实施日期', 'I-实施日期', 'O', 'I-实施日期', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 40, 41, 41, 41, 41, 41, 41, 41, 41, 41, 3, 3, 3, 3, 42, 43, 43, 43, 43, 43, 43, 43, 43, 43, 3, 3, 3, 1]",collection2020-03-26发布2020-10-01实施,34,0,"[11, 21, 23, 33]"
"['表', '现', '为', '全', '身', '不', '适', '、', '虚', '弱', '、', '面', '色', '苍', '白', '、', '出', '汗', '、', '焦', '虑', '、', '眩', '晕', '、', '恶', '心']","['O', 'O', 'O', 'O', 'O', 'B-症状', 'I-症状', 'I-症状', 'O', 'I-症状', 'O', 'O', 'B-症状', 'O', 'I-症状', 'O', 'O', 'B-症状', 'I-症状', 'I-症状', 'O', 'I-症状', 'O', 'O', 'B-症状', 'O', 'I-症状', 'O', 'O', 'B-症状', 'O', 'I-症状', 'O', 'O', 'B-症状', 'O', 'I-症状', 'O', 'O', 'B-症状', 'O', 'I-症状', 'O']","[0, 3, 3, 3, 3, 22, 23, 23, 23, 3, 3, 3, 22, 23, 3, 3, 3, 22, 23, 23, 23, 3, 3, 3, 22, 23, 3, 3, 3, 22, 23, 3, 3, 3, 22, 23, 3, 3, 3, 22, 23, 3, 1]",表现为 全身不适 、 虚弱 、 面色苍白 、 出汗 、 焦虑 、 眩晕 、 恶心 ,27,0,"[4, 8, 9, 11, 12, 16, 17, 19, 20, 22, 23, 25, 26, 28]"
"['9', '.', '1', '献', '血', '量']","['O', 'O', 'O', 'O', 'O', 'B-献血者健康检查', 'I-献血者健康检查', 'O', 'I-献血者健康检查', 'O']","[0, 3, 3, 3, 3, 26, 27, 27, 3, 1]",9.1献血量,6,0,"[4, 7]"
"['2', '.', '1', '6', '血', '袋', '及', '血', '液', '标', '本', '标', '识']","['O', 'O', 'O', 'O', 'O', 'O', 'B-血液采集', 'I-血液采集', 'I-血液采集', 'I-血液采集', 'I-血液采集', 'I-血液采集', 'I-血液采集', 'I-血液采集', 'O', 'I-血液采集', 'O']","[0, 3, 3, 3, 3, 3, 28, 29, 29, 29, 29, 29, 29, 29, 29, 3, 1]",2.16血袋及血液标本标识,13,0,"[5, 14]"
"['3', '）', '脉', '搏']","['O', 'O', 'O', 'O', 'B-项目', 'O', 'I-项目', 'O']","[0, 3, 3, 3, 10, 11, 3, 1]",3） 脉搏 ,4,0,"[3, 5]"
"['2', '.', '1', '6', '血', '袋', '及', '血', '液', '标', '本', '标', '识']","['O', 'O', 'O', 'O', 'O', 'O', 'B-血液采集', 'I-血液采集', 'I-血液采集', 'I-血液采集', 'I-血液采集', 'I-血液采集', 'I-血液采集', 'I-血液采集', 'O', 'I-血液采集', 'O']","[0, 3, 3, 3, 3, 3, 28, 29, 29, 29, 29, 29, 29, 29, 29, 3, 1]",2.16 血袋及血液标本标识 ,13,0,"[5, 14]"
"['6', '.', '1', '.', '4', '泌', '尿', '系', '统', '疾', '病', '患', '者']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类', 'I-献血者分类', 'O', 'I-献血者分类', 'O']","[0, 3, 3, 3, 3, 3, 3, 12, 13, 13, 13, 13, 13, 13, 13, 3, 1]",6.1.4 泌尿系统疾病患者 ,13,0,"[6, 14]"
"['3', '.', '2', '1', '生', '物', '指', '示', '物', 'b', 'i', 'o', 'l', 'o', 'g', 'i', 'c', 'a', 'l']","['O', 'O', 'O', 'O', 'O', 'O', 'B-术语', 'I-术语', 'I-术语', 'I-术语', 'O', 'I-术语', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 30, 31, 31, 31, 31, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",3.21生物指示物biological,19,0,"[5, 10]"
"['5', '.', '2', '.', '1', '献', '血', '动', '机']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-献血者健康检查', 'I-献血者健康检查', 'I-献血者健康检查', 'O', 'I-献血者健康检查', 'O']","[0, 3, 3, 3, 3, 3, 3, 26, 27, 27, 27, 3, 1]",5.2.1 献血动机 ,9,0,"[6, 10]"
"['g', ')', '采', '血', '时', '间', '过', '长', '（', '例', '如']","['O', 'O', 'O', 'O', 'B-诱发因素', 'I-诱发因素', 'I-诱发因素', 'I-诱发因素', 'I-诱发因素', 'O', 'I-诱发因素', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 64, 65, 65, 65, 65, 65, 3, 3, 3, 3, 1]",g)采血时间过长（例如,11,0,"[3, 9]"
"['献', '血', '不', '良', '反', '应', '预', '防', '、', '处', '理', '、', '随', '访', '规', '程', '（', 'T', 'C', '-', 'T', 'S', 'O', 'P', '-', '0', '9', '）']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'O', 'I-编号', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 24, 25, 25, 25, 25, 25, 25, 25, 25, 25, 3, 3, 1]",献血不良反应预防、处理、随访规程（ TC-TSOP-09 ）,28,0,"[18, 28]"
"['3', '.', '5', '消', '毒', '剂', 'd', 'i', 's', 'i', 'n', 'c', 't', 'a', 'n', 't']","['O', 'O', 'O', 'O', 'O', 'B-术语', 'I-术语', 'O', 'I-术语', 'B-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'O', 'I-英文名', 'O']","[0, 3, 3, 3, 3, 30, 31, 31, 3, 16, 17, 17, 17, 17, 17, 17, 17, 17, 17, 3, 1]",3.5 消毒剂 disinctant ,16,0,"[4, 7, 17]"
"['3', '.', '2', '0', '有', '效', '氯', 'a', 'v', 'a', 'i', 'l', 'a', 'b', 'l', 'e']","['O', 'O', 'O', 'O', 'O', 'O', 'B-术语', 'I-术语', 'O', 'I-术语', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 30, 31, 31, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",3.20 有效氯 available,16,0,"[5, 8]"
"['9', '.', '3', '给', '排', '水']","['O', 'O', 'O', 'O', 'O', 'B-献血场所', 'I-献血场所', 'O', 'I-献血场所', 'O']","[0, 3, 3, 3, 3, 6, 7, 7, 3, 1]",9.3 给排水 ,6,0,"[4, 7]"
"['3', '.', '3', '临', '时', '献', '血', '场', '所', 't', 'e', 'm', 'p', 'o', 'r', 'a', 'r', 'y']","['O', 'O', 'O', 'O', 'O', 'B-术语', 'I-术语', 'I-术语', 'I-术语', 'I-术语', 'O', 'I-术语', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 30, 31, 31, 31, 31, 31, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",3.3 临时献血场所 temporary,18,0,"[4, 10]"
"['6', '.', '2', '.', '7', '急', '性', '泌', '尿', '道', '感', '染', '病', '愈', '未', '满', '1', '个', '月', '者', '急', '性', '肾', '盂', '肾', '炎', '病', '愈', '未', '满', '个', '月', '者', '泌', '尿', '系', '统', '结', '石', '发', '作', '期']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'O', 'I-疾病', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'O', 'I-疾病', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'I-疾病', 'O', 'I-疾病', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 32, 33, 33, 33, 33, 33, 33, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 32, 33, 33, 33, 33, 33, 3, 3, 3, 3, 3, 3, 3, 3, 3, 32, 33, 33, 33, 33, 33, 3, 3, 3, 3, 1]",6.2.7 急性泌尿道感染 病愈未满1个月者 急性肾盂肾炎 病愈未满个月者 泌尿系统结石 发作期,42,0,"[6, 13, 21, 27, 34, 40]"
"['5', '.', '1', '3', '\u2002', '新', '鲜', '冰', '冻', '血', '浆', '\u2002']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-血液', 'I-血液', 'I-血液', 'I-血液', 'I-血液', 'O', 'I-血液', 'O', 'O']","[0, 3, 3, 3, 3, 3, 3, 52, 53, 53, 53, 53, 53, 3, 3, 1]",5.13 新鲜冰冻血浆 ,12,0,"[6, 12]"
"['中', '华', '人', '民', '共', '和', '国', '卫', '生', '行', '业', '标', '准', 'W', 'S', '/', 'T', '6', '6', '1', '—', '2', '0', '2', '0', '静', '脉', '血', '液', '标', '本', '采', '集', '指', '南']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'I-编号', 'O', 'I-编号', 'B-行业标准', 'I-行业标准', 'I-行业标准', 'I-行业标准', 'I-行业标准', 'I-行业标准', 'I-行业标准', 'I-行业标准', 'I-行业标准', 'O', 'I-行业标准', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 24, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 3, 54, 55, 55, 55, 55, 55, 55, 55, 55, 55, 3, 1]",中华人民共和国卫生行业标准WS/T661—2020静脉血液标本采集指南,35,0,"[14, 26, 36]"
"['献', '血', '不', '良', '反', '应', '严', '重', '程', '度', '可', '分', '为', '重', '度', '不', '良', '反', '应', '和', '非', '重', '度', '不', '良', '反', '应']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-严重程度评估', 'I-严重程度评估', 'I-严重程度评估', 'I-严重程度评估', 'I-严重程度评估', 'I-严重程度评估', 'O', 'I-严重程度评估', 'O']","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 60, 61, 61, 61, 61, 61, 61, 3, 1]",献血不良反应严重程度可分为重度不良反应和非重度不良反应,27,0,"[21, 28]"
"['4', '.', '面', '色', '苍', '白', '萎', '黄', '虚', '浮', '唇', '舌', '淡', '无', '血', '色', '结', '膜', '色', '淡']","['O', 'O', 'O', 'O', 'B-症状', 'I-症状', 'I-症状', 'O', 'I-症状', 'B-症状', 'O', 'I-症状', 'B-症状', 'O', 'I-症状', 'B-症状', 'I-症状', 'I-症状', 'I-症状', 'I-症状', 'O', 'I-症状', 'B-症状', 'I-症状', 'I-症状', 'O', 'I-症状', 'O']","[0, 3, 3, 3, 22, 23, 23, 23, 3, 22, 23, 3, 22, 23, 3, 22, 23, 23, 23, 23, 23, 3, 22, 23, 23, 23, 3, 1]",4.面色苍白萎黄虚浮唇舌淡无血色结膜色淡,20,0,"[3, 7, 9, 11, 17, 21]"
"['3', '.', '1', '清', '洁', 'c', 'l', 'e', 'a', 'n', 'i', 'n', 'g']","['O', 'O', 'O', 'O', 'O', 'B-术语', 'O', 'I-术语', 'B-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'I-英文名', 'O', 'I-英文名', 'O']","[0, 3, 3, 3, 3, 30, 31, 3, 16, 17, 17, 17, 17, 17, 17, 17, 3, 1]",3.1 清洁 cleaning ,13,0,"[4, 6, 14]"
"['4', '.', '3', '献', '血', '者', '血', '容', '量', '估', '算']","['O', 'O', 'O', 'O', 'O', 'B-预防措施', 'I-预防措施', 'I-预防措施', 'I-预防措施', 'I-预防措施', 'I-预防措施', 'I-预防措施', 'O', 'I-预防措施', 'O']","[0, 3, 3, 3, 3, 66, 67, 67, 67, 67, 67, 67, 67, 3, 1]",4.3献血者血容量估算,11,0,"[4, 12]"
"['3', '.', '5', '常', '居', '菌', 'r', 'e', 's', 'i', 'd', 'e', 'n', 't']","['O', 'O', 'O', 'O', 'O', 'B-术语', 'I-术语', 'O', 'I-术语', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[0, 3, 3, 3, 3, 30, 31, 31, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]",3.5常居菌resident,14,0,"[4, 7]"
"['7', '）', '双', '臂', '静', '脉', '穿', '刺', '部', '位', '无', '皮', '肤', '损', '伤', '无', '静', '脉', '注', '射', '药', '物', '痕', '迹']","['O', 'O', 'O', 'O', 'B-项目', 'I-项目', 'I-项目', 'I-项目', 'I-项目', 'I-项目', 'I-项目', 'O', 'I-项目', 'B-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'I-标准', 'O', 'I-标准', 'O']","[0, 3, 3, 3, 10, 11, 11, 11, 11, 11, 11, 11, 3, 14, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 3, 1]",7）双臂静脉穿刺部位无皮肤损伤无静脉注射药物痕迹,24,0,"[3, 11, 25]"
